typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje
drink, Cuba Libre, cuba_libre, Bialy rum, 40 ml, Limonka, cwierc sztuki, Cola, do dopelnienia, Lod,,,,,,,,,,aaa
drink, B-52, b_52, Likier kahlua, 10 ml, Likier baileys, 10 ml ,Likier triple sec, 10 ml,,,,,,,,,,,aaa
shot, Smoke On The Water, smoke_on_the_water, Syrop karmelowy, jedna trzecia kieliszka, Likier truskawkowy, dwie trzecie kieliszka ,,,,,,,,,,,,,aaa
drink, Blue Kamikaze, blue_kamikaze, wodka, 40 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Lod,,,,,,,,,,aaa
shot, Nevermind, nevermind, Blue curacao, po 5 ml, Likier kahlua, 50 ml, Likier cointreau, 30 ml,,,,,,,,,,,aaa
shot, Milosc Szmaragd I Krokodyl, milosc_szmaragd_i_krokodyl, Syrop pistacjowy, jedna czwarta, Likier czekoladowo-mietowy, dwie czwarte, Mleczko skondensowane nieslodzone, jedna czwarta ,,,,,,,,,,,aaa
shot, Maskarada, maskarada, Syrop jagodowy, jedna czwarta, Likier truskawkowy, dwie czwarte, Mleczko skondensowane nieslodzone, jedo czwarte,,,,,,,,,,,aaa
shot, Antidotum, antidotum, Syrop czekoladowy, 5 ml do kazdego kieliszka, Wodka orzechowa, 50 ml, Likier czekoladowy, 50 ml, Mleczko skondensowane nieslodzone, po 5 ml do kazdego kieliszka,,,,,,,,,aaa
shot, Poker Face, poker_face, Likier kahlua, 50 ml, Malibu, 20 ml, Mleczko skondensowane nieslodzone, po 5 ml do kazdego kieliszka,,,,,,,,,,,aaa
shot, Toxic, toxic, Syrop brzoskwiniowy, jedna trzecia, Likier pomaranczowy, jedna trzecia, Wodka zurawinowa, jedna trzecia,,,,,,,,,,,aaa
shot, Under Pressure, under_pressure, Syrop jagodowy, jedna czwarta, Likier kokosowy , trzy czwarte,,,,,,,,,,,,,aaa
shot, Lady Dynamite, lady_dynamite, Rum, 50 ml, Sok z mango, 70 ml, Blue curacao, po kilka kropli do kazdego kieliszka,,,,,,,,,,,aaa
shot, Pina Colada XS, pina_colada_xs, Syrop ananasowy, jedna trzecia, Likier kokosowy, dwie trzecie,,,,,,,,,,,,,aaa
shot, Wsciekly Pies, wsciekly_pies_shoty, Syrop malinowy, 10 ml, Wodka, 20 ml, Tabasco, kilka kropli,,,,,,,,,,,aaa
shot, Welcome To The Jungle, welcome_to_the_jungle, Syrop truskawkowy, jedna trzecia, Likier melonowy, dwie trzecie,,,,,,,,,,,,,aaa
shot, Wsciekla Papuga, wsciekla_papuga, Syrop ananasowy, 10 ml, Wodka, 20 ml, Tabascko, kilka kropli,,,,,,,,,,,aaa
shot, Bandyta, bandyta, Syrop czekoladowy, jedna trzecia, Likier bananowy, dwie trzecie,,,,,,,,,,,,,aaa
shot, Alien Brain Hemorrhage,  alien_brain_herrhage, Likier brzoskwiniowy, jedna druga, Likier baileys, jedna czwarta, Blue curacao, kilka kropli, Grenadyna, kilka gropli,,,,,,,,,aaa
